# 1955 漢字簡化方案草案－擬廢除的400個異體字草案
亘	亙
倣	仿
偺	咱
僥	徼
儌	徼
㑺	俊
僊	仙
僱	雇
儻	倘
册	冊
凈	淨
减	減
凄	淒
刃	刄
別	别
剳	札
劄	札
匝	帀
卻	却
廂	厢
吊	弔
喫	吃
嗽	潄
器	噐
垛	垜
够	夠
妒	妬
婣	姻
媿	愧
婿	壻
孃	娘
崖	崕
帋	紙
廁	厠
廚	厨
廈	厦
廼	乃
弦	絃
强	強
彀	夠
彷	仿
彿	佛
恒	恆
悽	淒
懵	懞
拋	抛
捏	揑
搾	榨
敘	叙
旂	旗
旨	㫖
昇	升
皙	晰
朵	朶
杰	傑
栖	棲
槓	杠
樑	梁
歎	嘆
污	汙
泛	汎
決	决
況	况
淚	泪
漱	潄
滾	滚
溯	泝
湊	凑
盜	盗
濬	浚
灾	災
煙	烟
燄	焰
煖	暖
燻	熏
片	片.yt400
狠	很
獃	呆
琺	珐
瑯	琅
瓷	磁
毘	毗
略	畧
疎	疏
痐	蛔
疿	痱
痹	痺
皁	皂
臯	皋
皰	疱
盃	杯
盌	碗
碁	棋
碪	砧
祕	秘
禿	秃
秈	籼
稉	粳
秔	粳
穤	糯
穉	稚
穽	阱
窯	窑
窰	窑
笋	筍
筩	筒
筯	箸
箒	帚
簑	蓑
篛	箬
簷	檐
粇	粳
粃	秕
糉	粽
紝	紉
綑	捆
緜	綿
缽	鉢
缾	瓶
罸	罰
羗	羌
羨	羡
羣	群
耑	專
耻	恥
肧	胚
脃	脆
脇	脅
脣	唇
脩	修
腳	脚
腌	醃
膓	腸
臙	胭
臥	卧
舘	館
艪	櫓
艣	櫓
荳	豆
菸	烟
茲	兹
韮	韭
菴	庵
茘	荔
蕚	萼
蕋	蕊
塟	葬
蔕	蒂
蔥	葱
稾	稿
螡	蚊
蝱	虻
蜨	蝶
蠭	蜂
蠏	蟹
衖	弄
裠	裙
襃	褒
袴	褲
襟	衿
覇	霸
覔	覓
詠	咏
謌	歌
詧	察
讌	宴
譌	訛
讎	仇
讐	仇
谿	溪
豬	猪
貍	狸
賸	剩
跺	跥
蹤	踪
踰	逾
躭	耽
躲	躱
輙	輒
輭	軟
迺	乃
遡	泝
遯	遁
邨	村
酧	酬
醕	醇
鈆	鉛
鉅	巨
鉤	鈎
鍼	針
鍫	鍬
鎚	錘
鍛	煅
鑤	鉋
闊	濶
闔	閤
阬	坑
陗	峭
陞	升
隖	塢
隄	堤
隙	𨻶
隣	鄰
隷	隸
鞵	鞋
鞾	靴
韁	繮
顋	腮
頴	穎
餁	飪
餻	糕
餹	糖
饍	膳
饝	饃
饋	餽
騃	呆
髣	仿
髴	佛
鬧	閙
鬨	閧
鴈	雁
鵰	雕
鵞	鵝
麞	獐
#麩	麩
黏	粘
鼈	鱉
齩	咬
龢	和
