# 1956 漢字簡化方案 第一批
罷	罢
蔔	卜
備	备
寳	宝
報	报
辦	办
闆	板
幫	帮
彆	别
標	标
錶	表
邊	边
變	变
賓	宾
補	补
闢	辟
樸	朴
撲	扑
麽	么
邁	迈
黴	霉
蠻	蛮
矇	蒙
濛	蒙
懞	蒙
彌	弥
瀰	弥
衊	蔑
廟	庙
麵	面
範	范
奮	奋
豐	丰
婦	妇
復	复
複	复
覆	复
逹	达
鬥	斗
擔	担
膽	胆
當	当
噹	当
檔	档
黨	党
燈	灯
敵	敌
澱	淀
點	点
電	电
墊	垫
獨	独
奪	夺
對	对
斷	断
鼕	冬
東	东
凍	冻
棟	栋
動	动
態	态
臺	台
檯	台
颱	台
頭	头
體	体
鐵	鉄
條	条
聽	听
團	团
糰	团
難	难
擬	拟
樂	乐
類	类
纍	累
勞	劳
癆	痨
樓	楼
裏	里
禮	礼
麗	丽
厲	厉
勵	励
離	离
瞭	了
劉	刘
簾	帘
聯	联
戀	恋
糧	粮
靈	灵
羅	罗
囉	罗
亂	乱
屢	屡
個	个
蓋	盖
乾	干
幹	干
趕	赶
穀	谷
颳	刮
過	过
歸	归
關	关
觀	覌
鞏	巩
剋	克
開	开
墾	垦
懇	恳
睏	困
號	号
後	后
護	护
畫	画
劃	划
夥	伙
懷	怀
壞	坏
會	会
歡	欢
環	环
還	还
幾	几
機	机
擊	击
際	际
劑	剂
濟	济
擠	挤
傢	家
價	价
藉	借
舊	旧
艱	艰
薦	荐
堅	坚
殲	歼
盡	尽
儘	尽
薑	姜
舉	举
劇	剧
據	据
覺	覚
捲	卷
齊	齐
氣	气
竊	窃
喬	乔
僑	侨
橋	桥
鞦	秋
韆	千
遷	迁
區	区
趨	趋
確	确
權	权
勸	劝
犧	牺
係	系
繫	系
協	协
獻	献
鹹	咸
釁	衅
嚮	向
響	响
興	兴
學	学
選	选
鏇	旋
祗	只
隻	只
幟	帜
職	职
緻	致
製	制
執	执
這	这
摺	折
戰	战
徵	征
癥	症
證	証
硃	朱
築	筑
準	准
莊	庄
種	种
衆	众
遲	迟
醜	丑
籌	筹
陳	陈
嘗	尝
償	偿
廠	厂
稱	称
懲	惩
處	处
觸	触
齣	出
衝	冲
蟲	虫
濕	湿
時	时
實	实
勢	势
師	师
捨	舍
曬	晒
壽	寿
瀋	沈
傷	伤
聲	声
數	数
帥	帅
雙	双
熱	热
榮	荣
竈	灶
總	总
辭	辞
纔	才
參	参
慘	惨
蠶	蚕
從	从
聰	聪
灑	洒
掃	扫
喪	丧
蘇	苏
囌	苏
雖	虽
隨	随
孫	孙
鬆	松
愛	爱
礙	碍
歐	欧
爾	尔
醫	医
義	义
儀	仪
壓	压
葉	叶
優	优
猶	犹
郵	邮
養	养
癢	痒
樣	样
蠅	蝇
應	应
營	营
務	务
襪	袜
爲	为
僞	伪
萬	万
彎	弯
餘	余
禦	御
籲	吁
鬰	郁
與	与
遠	远
雲	云
運	运
擁	拥
