# 新字體中在Unicode未分離者，在此字型需要區分
# 請注意此檔案不是真正從印刷通用漢字字形表整理而來，
# 而是單純思源宋體，清查出需要區分新舊字形的常用字
下	下.cn
不	不.cn
与	与.cn
丐	丐.cn
丑	丑.cn
丕	丕.cn
世	世.cn
乃	乃.cn
么	么.cn
之	之.cn
乏	乏.cn
乖	乖.cn
乳	乳.cn
云	云.cn
互	互.cn
亟	亟.cn
亡	亡.cn
亢	亢.cn
交	交.cn
亥	亥.cn
亦	亦.cn
亨	亨.cn
享	享.cn
京	京.cn
亭	亭.cn
亮	亮.cn
亳	亳.cn
今	今.cn
仍	仍.cn
仗	仗.cn
仙	仙.cn
令	令.cn
以	以.cn
仰	仰.cn
仳	仳.cn
份	份.cn
分	分.cn
仿	仿.cn
伉	伉.cn
伋	伋.cn
火	火.cn
伴	伴.cn
伶	伶.cn
似	似.cn
位	位.cn
低	低.cn
体	体.cn
佗	佗.cn
佛	佛.cn
佞	佞.cn
佟	佟.cn
佤	佤.cn
佴	佴.cn
佺	佺.cn
佼	佼.cn
佾	佾.cn
侄	侄.cn
耒	耒.cn
侉	侉.cn
侔	侔.cn
依	依.cn
侮	侮.cn
侯	侯.cn
侵	侵.cn
系	系.cn
俅	俅.cn
俊	俊.cn
俏	俏.cn
俘	俘.cn
俯	俯.cn
俜	俜.cn
俞	俞.cn
俟	俟.cn
信	信.cn
修	修.cn
俳	俳.cn
俸	俸.cn
倌	倌.cn
倍	倍.cn
倏	倏.cn
倒	倒.cn
倔	倔.cn
幸	幸.cn
倘	倘.cn
候	候.cn
倜	倜.cn
倥	倥.cn
倦	倦.cn
倩	倩.cn
倭	倭.cn
偃	偃.cn
偈	偈.cn
偎	偎.cn
偏	偏.cn
偕	偕.cn
停	停.cn
健	健.cn
逼	逼.cn
偯	偯.cn
偷	偷.cn
傀	傀.cn
傍	傍.cn
效	效.cn
家	家.cn
傣	傣.cn
催	催.cn
傲	傲.cn
傺	傺.cn
傻	傻.cn
僇	僇.cn
像	像.cn
象	象.cn
徼	徼.cn
僦	僦.cn
僧	僧.cn
僬	僬.cn
僭	僭.cn
僮	僮.cn
雇	雇.cn
僻	僻.cn
辟	辟.cn
儇	儇.cn
儋	儋.cn
儒	儒.cn
优	优.cn
儳	儳.cn
儸	儸.cn
允	允.cn
充	充.cn
兆	兆.cn
凶	凶.cn
兕	兕.cn
兜	兜.cn
兝	兝.cn
兢	兢.cn
入	入.cn
全	全.cn
八	八.cn
公	公.cn
六	六.cn
兮	兮.cn
具	具.cn
兼	兼.cn
再	再.cn
冒	冒.cn
冢	冢.cn
冤	冤.cn
冥	冥.cn
冬	冬.cn
冱	冱.cn
冶	冶.cn
冷	冷.cn
凄	凄.cn
准	准.cn
凋	凋.cn
雕	雕.cn
凌	凌.cn
凵	凵.cn
凸	凸.cn
凹	凹.cn
出	出.cn
函	函.cn
切	切.cn
刈	刈.cn
初	初.cn
判	判.cn
到	到.cn
刳	刳.cn
券	券.cn
刻	刻.cn
剃	剃.cn
削	削.cn
剖	剖.cn
剜	剜.cn
剡	剡.cn
剪	剪.cn
割	割.cn
劁	劁.cn
劂	劂.cn
劈	劈.cn
功	功.cn
劣	劣.cn
努	努.cn
劫	劫.cn
劻	劻.cn
劾	劾.cn
勇	勇.cn
勰	勰.cn
勾	勾.cn
匈	匈.cn
匏	匏.cn
匚	匚.cn
匝	匝.cn
炕	炕.cn
匠	匠.cn
