# 第一表
# 一、不作简化偏旁用的简化字
懊	㤇
芭	巴
笆	巴
粑	巴
帮	邦
爆	𤆊
蓖	芘
篦	芘
蔽	芘
弊	弊.er1
壁	壁.er1
萹	扁
藊	扁
稨	扁
摒	屏
病	疒
播	抪
部	卩.er1
彩	采
菜	𦬁
蔡	𦬁
餐	歺
舱	仓
藏	䒙
衩	叉
扠	叉
杈	叉
汊	叉
撤	𢪃
瞅	𥄨
矗	矗.er1
葱	茐
答	荅
蛋	旦
弹	弹.er1
蹈	蹈.er1
稻	稻.er1
道	辺
殿	𡱒
叮	丁
盯	丁
钉	丁
靪	丁
董	苳
懂	㤏
短	短.er1
蹲	𧿬
燉	炖
贰	弍
愤	忿
孵	孚
伕	夫
富	𫲷
副	付
秆	杆
竿	杆
钩	勾
罐	罐.er1
灌	浂
盥	浂
鳜	桂
裹	果
薅	䒵
盒	合
葫	胡
猢	胡
蝴	胡
糊	胡
毁	毀.er1
籍	笈
建	迠
豇	江
酱	𪧷
跤	交
椒	茭
街	亍
阱	井
境	㘫
镜	镜.er1
韭	艽
酒	氿
橘	桔
镢	䦆.er1
䦆	䦆.er1
慷	忼
糠	粇
靠	俈
款	𤘯
蓝	兰
篮	兰
澜	㳕
滥	㳕
谰	讕.er1
懒	懶.er1
缆	缆.er1
磊	磊.er1
荔	艻
璃	玏
量	量.er1
潦	了
僚	𠆨
燎	燎.er1
寮	㝋
寥	㝋
廖	𭙏
磷	砱
龄	令
溜	溜.er1
遛	溜.er1
熘	溜.er1
馏	溜.er1
掳	虏
慢	𭜌
帽	𫷀
貌	皃
煤	𭳿
幕	𫯜
酿	酿.er1
虐	虐.er1
漆	㲺
歧	岐
器	𫩏
谦	谦.er1
潜	汘
歉	欠
墙	垟
勤	勤.er1
渠	洰
嚷	𠮵
壤	圵
儒	儒.er1
赛	𡧳
煽	扇
搧	扇
緔	上
鞝	上
杓	勺
输	输.er1
爽	爽.er1
私	厶
算	祘
泰	太
檀	枟
糖	糖.er1
套	套.er1
腾	腾.erg
停	仃
稳	𮂹
舞	午
稀	希
熄	息
瞎	瞎.er1
镶	镶.er1
橡	𬂭
萧	肖
鞋	鞋.er1
信	伩
雄	厷
修	㣊
宣	㝉
癣	㾌
靴	靴.er1
雪	彐
阎	闫
演	演.er1
耀	𭀦
曜	𭀦
意	意.er1
臆	肊
翼	翼.er1
迎	迊
影	𢒈
臃	𦙸
游	沋
愉	𢖳
遇	迂
预	予
豫	予
圆	元
原	原.er1
源	沅
缘	缘.er1
赞	賛.er1
寨	寨.er1
账	帐
辙	辙.er1
整	整.er1
籽	子
嘴	咀
座	坐

# 二、可作简化偏旁用的简化字
鼻	𢍂
察	察.er1
嚓	察.er1
感	𫹯
冀	丠
具	具.er1
留	畄
眉	𠃜
嵋	𠃜
蒙	蒙.er1
面	𫩑
囊	囊.er1
囔	囊.er1
青	青.er1
桑	桑.er1
属	属.er1
堂	坣
易	𠃓
婴	嬰.er1
展	展.er1
辗	展.er1
真	真.er1
直	直.er1
卒	卆
尊	尊.er1

# 三、应用21个可作简化偏旁用的简化字类推简化得出来的简化字
鼾	鼾.er1
擦	擦.er1
撼	撼.er1
憾	憾.er1
骥	骥.er1
俱	俱.er1
惧	惧.er1
犋	犋.er1
榴	榴.er1
瘤	瘤.er1
媚	媚.er1
蠓	蠓.er1
缅	缅.er1
攮	攮.er1
请	请.er1
菁	菁.er1
猜	猜.er1
情	情.er1
清	清.er1
晴	晴.er1
睛	睛.er1
靖	靖.er1
静	静.er1
精	精.er1
靛	靛.er1
搡	搡.er1
嗓	嗓.er1
嘱	嘱.er1
瞩	瞩.er1
螳	螳.er1
剔	剔.er1
惕	惕.er1
赐	赐.er1
锡	锡.er1
踢	踢.er1
缨	缨.er1
樱	桜
碾	碾.er1
填	填.er1
慎	慎.er1
滇	滇.er1
镇	镇.er1
颠	颠.er1
值	值.er1
植	植.er1
殖	殖.er1
置	置.er1
啐	𠯥
悴	忰
碎	砕
瘁	疩
粹	粋
翠	翆
醉	酔
撙	撙.er1

# 詞組同音代替字
# 因本字型不易處理詞組簡化，人工選擇用途限定的字一律套用
曚	蒙.er1
朦	蒙.er1
栱	拱
