亂	乱
亞	亜
個	个
們	们
偽	伪
傘	伞.kmt
備	俻
傷	傷.kmt
僑	侨
價	价
儀	仪
儈	侩
儒	㐵
儔	俦.kmt
儕	㑪
儘	侭
凍	冻
劃	㓰
劉	刘
劑	剤
勘	勘.kmt
勞	劳
勢	势
勳	勛
勵	励
勸	劝
區	区.kmt
卒	卆
協	协
厲	厉
叢	樷
問	问
啞	唖
啟	启
喪	丧
喬	乔
嘔	呕.kmt
嘗	尝
噹	𪠽
囉	啰
囑	嘱.kmt
國	囯
園	园
圖	图.kmt
執	执
堅	坚
堪	堪.kmt
報	报.kmt
場	场.kmt
墳	坟
壇	坛
壓	压
壺	壷
壽	寿.kmt
婁	娄
孫	孙
學	学
實	实.kmt
寶	宝
對	对
屢	屡
屬	属.kmt
巖	岩
帥	帅.kmt
師	师.kmt
帳	帐.kmt
幗	帼.kmt
幫	帮
庵	广
廟	庙
廢	废
廬	庐
廳	厛
張	张.kmt
彌	弥
彎	弯
從	从
念	卄
悶	闷
惡	悪
憐	怜
懇	恳
應	应
懲	惩.kmt
懷	怀
懸	𢝝
懼	惧
戀	恋
戰	战
戲	戏
掛	挂
撥	拨
擋	挡
擔	担
擠	挤
擬	拟
擺	摆
攤	摊
攪	撹
數	数
斷	断
時	时
晝	昼
曬	晒.kmt
會	会
東	东
條	条
棄	弃
棗	枣
榮	荣
樂	乐.kmt
樓	楼
樞	枢.kmt
橋	桥
機	机
檀	枟
檜	桧
檯	枱
櫃	柜
權	权
歐	欧.kmt
歟	欤
歡	欢
歲	岁
歸	归.kmt
殯	殡
殺	杀
毆	殴.kmt
氈	毡
氣	气
滬	沪
漲	涨.kmt
潑	泼
濤	涛.kmt
濱	滨
灘	滩
為	为
無	无
煉	炼.kmt
熱	热
燈	灯
燭	烛
燴	烩
燼	烬
爐	炉
爾	尔
牀	床
猶	犹
獅	狮.kmt
獨	独
獪	狯
環	环
留	畄.kmt
畫	画
異	异
當	当
癢	痒
癱	瘫
發	发
皺	皱
盡	尽
眾	众
矯	矫
礙	碍
礦	卝.kmt
禮	礼
禱	祷.kmt
稱	称
窮	穷
竈	灶
竊	窃
答	荅.kmt
算	祘
篩	筛.kmt
簡	简.kmt
簫	簘
籌	筹.kmt
籮	箩
糧	粮
糴	籴
糶	粜
紙	帋
練	练.ca798
縣	県.kmt
縷	𫃵
繡	綉
繩	绳.sgp
繪	絵
繼	継
續	続.kmt
纔	才
罷	罢
羅	罗
義	义
聖	圣
聞	闻
聯	联
聲	声
職	聀
聽	听
肅	粛
腸	肠.kmt
膽	胆
臨	临
臺	台
與	与
興	㒷.kmt
舉	举
舊	旧
艱	艰
艷	艳
莊	庄
萬	万
蓋	盖
蕭	䔥.kmt
薦	荐.kmt
藝	兿
藥	葯.kmt
蘆	芦.kmt
蘇	苏.kmt
處	処
號	号
蝦	虾
蟄	蛰
蟲	虫
蟻	蚁
蠅	蝇.kmt
蠶	蚕
蠻	蛮
襪	袜
覆	覄
親	亲
覺	覚
覽	览.sgp
觀	覌
謳	謳.kmt
識	䛊
議	议.sgp
譽	誉
讀	読.kmt
變	变
豈	岂.kmt
豐	丰
豔	艳
貌	皃
賓	宾
賢	賢.kmt
賣	売.kmt
質	貭
賬	账.kmt
贊	賛
贓	賍
贖	贖.kmt
趕	赶
趙	赵.kmt
趨	趋
辦	办
辭	辞
這	这
過	过
遜	逊
遠	远
遲	遲.kmt
遷	迁
選	选
邁	迈
還	还
邇	迩
邊	边
邏	逻
鄒	邹
醫	医
釁	衅
錢	𬌩
鐘	鈡
鐵	鉄
鑼	锣.kmt
長	长.kmt
門	门
閉	闭
開	𫔭
閏	闰
閑	闲
間	间
閣	阁
閥	阀
闔	𬮤
閩	闽
關	𬮦
陰	阴
陳	陈
陽	阳
隱	隐
雖	虽
雙	双
雜	雜.sgp
雞	鳮
離	离.kmt
難	难
靈	灵
韻	韵
頭	头
類	类
風	凨
驅	駆.kmt
驕	驕.sgp
驢	馿
體	体.kmt
鬧	闹
鬨	鬨.kmt
鳳	凤
鷄	鳮
鸞	鵉
鹼	碱
鹽	塩.kmt
麼	庅
點	点
黨	党
齊	斉
齋	斋
龜	亀.kmt
擡	抬
斟	斟.kmt
甚	甚.kmt
荐	荐.kmt
鬬	鬥
齏	齑.kmt
