亂	乱
亞	亜
來	耒.cn
俠	侠
信	伩
倆	俩
個	个
們	们
倣	仿.cn
偉	伟
偽	伪
傘	伞
備	备
傭	佣
傳	传
傷	伤
僅	仅
僑	侨
價	价
儀	仪
儉	俭
儘	尽
償	偿
優	优.cn
兩	两
凍	冻
剎	杀
剛	刚
劃	㓰
劇	剧
劉	刘
劍	剑
劑	剂
勁	劲
動	动
務	务
勝	胜
勞	劳
勢	势
勵	励
勸	劝
匯	汇
區	区
協	协
卻	却
厭	厌
厲	厉
參	参
問	问
單	单
嘆	叹
嘔	呕
嘗	尝
嘴	咀
嚇	吓
嚴	严
囑	嘱
國	囯
圍	围
園	园
圖	图
團	团
執	执
堅	坚
報	报
場	㘯
塊	块
墊	垫
墳	坟
墾	垦
壓	压
壞	坏.cn
壯	壮
壽	寿
夢	梦
夥	伙
夾	夹
奪	夺
奮	奋
婦	妇
嬌	娇
孫	孙
學	学
實	实
審	审
寫	写
寵	宠
寶	宝
將	将
專	专
尋	寻
對	对
導	导
屢	屡
層	层
屬	属
崗	岗
嶄	崭
嶇	岖
師	师
幣	币
幫	帮
幾	几
廟	庙
廢	廃.sgp
彈	弹
彌	弥
彎	弯
後	后
徑	径
從	从
悶	闷
惡	悪
惱	恼
愛	爱
態	态
慘	惨
慚	惭
慶	庆
憂	忧
憐	怜.cn
憑	凭
憫	悯
憲	宪
懇	恳
應	应
懲	惩
懷	怀.cn
懼	惧
戀	恋
戰	战
戲	戏
掃	扫
揮	挥
摯	挚
撈	捞
撥	𫝼.sgp
撫	撫.sgp
撿	捡
擁	拥
擇	择
擊	击
擋	挡
擔	担
據	据
擠	挤
擬	拟
擱	搁
擲	掷
擺	摆
擾	扰.cn
攔	拦
攝	摄
攤	摊
敵	敌
數	数
斬	斩
斷	断
時	时
晝	昼
暈	晕
暫	暂
曬	晒
會	会
東	东
條	条
棄	弃
棟	栋
棧	栈
業	业
極	极.cn
榮	荣
樂	乐
樓	楼
標	标
樞	枢
樣	样
樸	朴
樹	树
橋	桥
機	机
檔	档
檢	检
檯	枱
檳	梹
櫃	柜.cn
欄	栏
權	权
歐	欧
歡	欢
歲	𭭚
歷	历
歸	归
殘	残
殯	殡
殺	杀
殼	壳
毆	殴
氣	气
氫	氢
淵	渊
淺	浅
溼	湿
滲	渗
漢	汉
漸	渐
潑	溌.sgp
潤	润
澤	泽
濕	湿
濟	济
濤	涛
濫	滥.sgp
濱	滨
灑	洒
灘	滩
灣	湾
為	为
無	無.sgp
煉	炼
熱	热
燈	灯
營	营
燦	灿
燭	烛
爍	烁
爐	炉
爛	烂
爺	爷
犧	牺
狀	状
狹	狭
猶	犹
獅	𤞏
獨	独
獲	获
獵	猎
獸	兽
獻	献
環	环
瓊	琼
產	产
留	畄
畢	毕
畫	画
異	异.cn
當	当
癆	痨
癢	痒.cn
發	発.sgp
盞	盏
盡	尽
監	监
盧	卢
眾	众
瞭	了
矯	矫
確	确.cn
磚	砖
礙	碍
禍	祸
禮	礼
禱	祷
種	种
稱	称
積	积
穩	稳
穫	获
窗	囱
窮	穷
竈	灶
竊	窃
筆	笔
答	荅
箋	笺
算	祘
節	节
築	筑
簡	简
簫	簘
簽	签
籃	篮.sgp
籌	筹
籲	吁
糞	粪
糧	粮
紙	帋
經	经.sgp
綫	线.sgp
綱	䋄
網	网.cn
緊	紧
線	线.sgp
練	练.sgp
總	总
織	𥿗
繩	绳.sgp
繪	絵
繼	継
續	续.sgp
纔	才.cn
纜	缆.sgp
罷	罢
羅	罗
義	义
習	习
聖	圣
聞	闻
聯	联
聰	聪
聲	声
職	聀
聽	听
聾	聋
肅	粛
腎	肾
腦	脑
腫	肿
膽	胆
臘	腊
臨	临
臺	台.cn
與	与.cn
興	兴
舉	举
舊	旧
艱	艰
艷	艳
莖	茎
華	华
萬	万
葉	叶
蓋	盖
蓮	莲.sg1
蔣	蒋
蔭	荫
蕪	蕪.sgp
蕭	䔥
薦	荐
藍	蓝.sgp
藝	艺
藥	葯.cn
蘇	苏
蘋	苹.cn
蘭	兰
處	处
號	号
蝦	虾
蟲	虫
蟻	蚁
蠅	蝇.kmt
蠟	蜡
蠶	蚕.cn
蠻	蛮
術	术
裏	里
補	补
裝	装
裡	里
褲	衭.cn
襪	袜
要	𡚩
覆	覄
親	亲
覺	覚
覽	览.sgp
觀	覌
解	觧.sgp
觸	触.sgp
諫	諫.sgp
講	𮗻
證	証.cn
譏	𮗸
識	䛊
譯	译.sgp
議	议.sgp
譽	誉
讀	读.sgp
變	变
讓	誏.cn
豐	丰
豔	艳
貌	皃
貓	猫
賓	宾
賣	卖.sgp
賤	賎.sgp
質	貭
賽	𡧳
贖	赎.sgp
趕	赶
趙	赵
趨	趋
踐	践
軀	躯
車	车
軌	轨
軍	军
軟	软
軸	轴
較	较
載	载
輔	辅
輕	轻
輛	辆
輝	辉
輩	辈
輯	辑
輸	输
轉	转
轎	轿
轟	轰
辦	办
辭	辞
這	这
連	连
進	进
運	运
過	过
達	达
違	违
遜	逊
遠	远
適	适.cn
遲	迟
遷	迁
選	选
邁	迈
還	还
邊	边
邏	逻
郵	邮
鄉	乡
鄭	郑
鄰	邻
醫	医
釀	酿
釁	衅
釋	释
錢	銭.sgp
鐘	鈡
鐵	鉄
門	门
閃	闪
閉	闭
開	𫔭
閑	闲
閒	闲
間	间
閣	阁
閱	阅
闊	阔
關	𬮦
陣	阵
陰	阴
陳	陈
陸	陆
陽	阳
隊	队
階	阶
際	际
險	险
隱	隐
雖	虽
雙	双
雜	雜.sgp
雞	鳮
離	离.cn
難	难
雲	云.cn
電	电
靈	灵
響	响
頭	头
頸	𩒍
願	愿.cn
類	类
顯	显
風	风
飄	飘
飛	𮨶
養	养
驕	驕.sgp
驗	验.sgp
驚	惊.cn
骯	肮.cn
髒	脏
體	体.cn
鬧	闹
鳳	凤
鷄	鳮
鹽	盐
麗	丽.sgp
麼	么.cn
點	点
黨	党
齊	齐
齋	斋
齒	齿
齡	龄
龍	龙
龐	庞
