trad,ss01,ss02,ss03,ss04,ss05,ss06,ss07
𠃓,,,,,,,
𠃜,,,,,,,
𠆣,,,,,,,
𠆨,,,,,,,
𠜅,,,,,,,
𠮵,,,,,,,
𠯥,,,,,,,
𡚩,,,,,,,
𡦼,,,,,,,
𡧳,,,,,,,
𡱒,,,,,,,
𡴭,,,,,,,
𡵉,,,,,,,
𢍂,,,,,,,
𢒈,,,,,,,
𢖳,,,,,,,
𢙝,,,,,,,
𢝝,,,,,,,
𢩪,,,,,,,
𢩳,,,,,,,
𢪃,,,,,,,
𢬂,,,,,,,
𣅃,,,,,,,
𣎶,,,,,,,
𣎷,,,,,,,
𣱶,,,,,,,
𣲪,,,,,,,
𤆂,,,,,,,
𤆊,,,,,,,
𤘯,,,,,,,
𤝌,,,,,,,
𤞏,,,,,,,
𤴥,,,,,,,
𤵒,,,,,,,
𥄨,,,,,,,
𥋊,,,,,,,
𥘉,,,,,,,
𥘎,,,,,,,
𥘑,,,,,,,
𥘞,,,,,,,
𥘯,,,,,,,
𥘵,,,,,,,
𥘽,,,,,,,
𥙊,,,,,,,
𥙿,,,,,,,
𥾫,,,,,,,
𥿗,,,,,,,
𦙸,,,,,,,
𦬁,,,,,,,
𦬸,,,,,,,
𦮴,,,,,,,
𦿾,,,,,,,
𧉾,,,,,,,
𧿬,,,,,,,
𨑳,,,,,,,
𨒂,,,,,,,
𨚍,,,,,,,
𨱄,,,,,,,
𨱇,,,,,,,
𨱏,,,,,,,
𨱔,,,,,,,
𩒍,,,,,,,
𩾃,,,,,,,
𩾗,,,,,,,
𪏭,,,,,,,
𪠽,,,,,,,
𪣈,,,,,,,
𪧷,,,,,,,
𪫆,,,,,,,
𪯈,,,,,,,
𫀆,,,,,,,
𫈉,,,,,,,
𫍚,,,,,,,
𫓱,,,,,,,
𫔭,,,,,,,
𫕠,,,,,,,
𫠣,,,,,,,
𫧇,,,,,,,
𫩏,,,,,,,
𫩑,,,,,,,
𫯜,,,,,,,
𫰆,,,,,,,
𫲷,,,,,,,
𫶬,,,,,,,
𫷀,,,,,,,
𫹯,,,,,,,
𫹵,,,,,,,
𬁟,,,,,,,
𬂭,,,,,,,
𬌩,,,,,,,
𬒳,,,,,,,
𬒽,,,,,,,
𬒾,,,,,,,
𬓠,,,,,,,
𬜨,,,,,,,
𬮦,,,,,,,
𭀦,,,,,,,
𭙏,,,,,,,
𭙕,,,,,,,
𭜌,,,,,,,
𭭚,,,,,,,
𭳿,,,,,,,
𭴈,,,,,,,
𭷔,,,,,,,
𭻾,,,,,,,
𮂹,,,,,,,
𮇘,,,,,,,
𮗸,,,,,,,
𮗻,,,,,,,
𮨶,,,,,,,
𮮑,,,,,,,
、,,、.gbk,,、.gbk,、.gbk,、.gbk,、.gbk
。,,。.gbk,,。.gbk,。.gbk,。.gbk,。.gbk
「,,“,,,“,“,“
」,,”,,,”,”,”
䦆,,,,,䦆.er1,䦆.er1,
一,,,,,,,
丁,,,,,,,
七,,,,,,,
万,,,,,,,
丈,,,,,,,
三,,,,,,,
上,,,,,,,
下,,,,,,,
丌,,,,,,,
不,,,,,,,
与,,,,,,,
丐,,,,,,,
丑,,,,,,,
专,,,,,,,
且,,,,,,,
丕,,,,,,,
世,,,,,,,
丘,,,,,,,
丙,,,,,,,
业,,,,,,,
丛,,,,,,,
东,,,,,,,
丝,,,,,,,
丞,,,,,,,
丟,,丢,,丢,丢,丢,丢
丠,,,,,,,
丢,,,,,,,
两,,,,,,,
严,,,,,,,
並,,并,,并,并,并,并
丧,,,,,,,
个,,,,,,,
丫,,,,,,,
丬,,,,,,,
中,,,,,,,
丰,,,,,,,
串,,,,,,,
临,,,,,,,
丸,,,,,,,
丹,,,,,,,
为,,,,,,,
主,,,,,,,
丼,,,,,,,
丽,,,,,,,
举,,,,,,,
乃,,,,,,,
久,,,,,,,
乇,,,,,,,
么,,,,,,,
义,,,,,,,
之,,,,,,,
乌,,,,,,,
乍,,,,,,,
乎,,,,,,,
乏,,,,,,,
乐,,,,,,,
乒,,,,,,,
乓,,,,,,,
乔,,,,,,,
乖,,,,,,,
乘,,,,,,,
乙,,,,,,,
乜,,,,,,,
九,,,,,,,
乞,,,,,,,
也,,,,,,,
习,,,,,,,
乡,,,,,,,
书,,,,,,,
乩,,,,,,,
买,,,,,,,
乱,,,,,,,
乳,,,,,,,
乾,,干,,干,干,干,干
亂,乱,乱,乱,乱,乱,乱,乱
了,,,,,,,
予,,,,,,,
争,,,,,,,
事,,,,,,事.er2,
二,,,,,,,
亍,,,,,,,
于,,,,,,,
亏,,,,,,,
云,,,,,,,
互,,,,,,,
亓,,,,,,,
五,,,,,,,
井,,,,,,,
亘,,,,,,,
亙,,亘,,亘,亘,亘,亘
亚,,,,,,,
些,,,,,,,
亜,,,,,,,
亞,亜,亚,亜,亜,亚,亚,亚
亟,,,,,,,
亡,,,,,,,
亢,,,,,,,
交,,,,,,,
亥,,,,,,亥.er2,
亦,,,,,,,
产,,,,,,,
亨,,,,,,,
亩,,,,,,,
享,,,,,,,
京,,,,,,,
亭,,,,,,,
亮,,,,,,,
亲,,,,,,,
亳,,,,,,,
亵,,,,,,,
亸,,,,,,,
人,,,,,,,
亼,,,,,,,
亿,,,,,,,
什,,,,,,,
仁,,,,,,,
仂,,,,,,,
仃,,,,,,,
仄,,,,,,,
仅,,,,,,,
仆,,,,,,,
仇,,,,,,,
仉,,,,,,,
今,,,,,,,
介,,,,,,,
仍,,,,,,,
从,,,,,,,
仑,,,,,,,
仓,,,,,,,
仔,,,,,,,
仕,,,,,,,
他,,,,,,,
仗,,,,,,,
付,,,,,,,
仙,,,,,,,
仝,,,,,,,
仞,,,,,,,
仟,,,,,,,
仡,,,,,,,
代,,,,,,,
令,,,,,,,
以,,,,,,,
仦,,,,,,,
仨,,,,,,,
仪,,,,,,,
们,,,,,,,
仰,,,,,,,
仲,,,,,,,
仳,,,,,,,
仵,,,,,,,
件,,,,,,,
价,,,,,,,
任,,,,,,,
份,,,,,,,
仿,,,,,,,
企,,,,,,,
伉,,,,,,,
伊,,,,,,,
伋,,,,,,,
伍,,,,,,,
伎,,,,,,,
伏,,,,,,,
伐,,,,,,,
休,,,,,,,
伕,,,,,夫,夫,
众,,,,,,,
优,,,,,,,
伙,,,,,,,
会,,,,,,,
伛,,,,,,,
伞,,,,,,,
伟,,,,,,,
传,,,,,,,
伢,,,,,,,
伣,,,,,,,
伤,,,,,,,
伥,,,,,,,
伦,,,,,,,
伧,,,,,,,
伩,,,,,,,
伪,,,,,,,
伫,,,,,,,
伯,,,,,,,
估,,,,,,,
伴,,,,,,,
伶,,,,,,,
伸,,,,,,,
伺,,,,,,,
似,,,,,,,
伽,,,,,,,
佃,,,,,,,
但,,,,,,,
佇,,伫,,伫,伫,伫,伫
佈,,布,,布,布,布,布
位,,,,,,,
低,,,,,,,
住,,,,,,,
佐,,,,,,,
佑,,,,,,,
体,,,,,,,
佔,,占,,占,占,占,占
何,,,,,,,
佗,,,,,,,
佘,,,,,,,
余,,,,,,,
佚,,,,,,,
佛,,,,,,,
作,,,,,,,
佝,,,,,,,
佞,,,,,,,
佟,,,,,,,
你,,,,,,,
佣,,,,,,,
佤,,,,,,,
佥,,,,,,,
佧,,,,,,,
佩,,,,,,,
佬,,,,,,,
佯,,,,,,,
佰,,,,,,,
佳,,,,,,,
佴,,,,,,,
併,,并,,并,并,并,并
佶,,,,,,,
佺,,,,,,,
佻,,,,,,,
佼,,,,,,,
佾,,,,,,,
使,,,,,,,
侃,,,,,,,
侄,,,,,,,
來,,来,耒,耒,来,来,来
侈,,,,,,,
侉,,,,,,,
例,,,,,,,
侍,,,,,,,
侏,,,,,,,
侑,,,,,,,
侔,,,,,,,
侖,,仑,,仑,仑,仑,仑
侗,,,,,,,
供,,,,,,,
依,,,,,,,
侠,,,,,,,
侣,,,,,,,
侥,,,,,,,
侦,,,,,,,
侧,,,,,,,
侨,,,,,,,
侩,,,,,,,
侪,,,,,,,
侬,,,,,,,
侭,,,,,,,
侮,,,,,,,
侯,,,,,,𫶬,
侵,,,,,,侵.er2,
侶,,侣,,侣,侣,侣,侣
侷,,局,,局,局,局,局
便,,,,,,,
俁,,俣,,俣,俣,俣,俣
係,,系,,系,系,系,系
促,,,,,,,
俄,,,,,,,
俅,,,,,,,
俈,,,,,,,
俊,,,,,,,
俎,,,,,,,
俏,,,,,,,
俐,,,,,,,
俑,,,,,,,
俔,,伣,,伣,伣,伣,伣
俗,,,,,,,
俘,,,,,,,
俚,,,,,,,
俜,,,,,,,
保,,,,,,,
俞,,,,,,,
俟,,,,,,,
俠,,侠,侠,侠,侠,侠,侠
信,,,伩,伩,伩,伩,
俣,,,,,,,
俦,,,,,,,
俨,,,,,,,
俩,,,,,,,
俪,,,,,,,
俭,,,,,,,
修,,修.gbk,,修.gbk,㣊,㣊,修.gbk
俯,,,,,,,
俱,,,,,俱.er1,俱.er1,
俳,,,,,,,
俸,,,,,,,
俺,,,,,,,
俻,,,,,,,
俾,,,,,,,
倀,,伥,,伥,伥,伥,伥
倆,,俩,俩,俩,俩,俩,俩
倉,,仓,,仓,仓,仓,仓
個,个,个,个,个,个,个,个
倌,,,,,,,
倍,,,,,,,
倏,,,,,,,
們,们,们,们,们,们,们,们
倒,,,,,,,
倔,,,,,,,
倖,,幸,,幸,幸,幸,幸
倘,,,,,,,
候,,,,,,𫶬,
倚,,,,,,,
倜,,,,,,,
借,,,,,,,
倡,,,,,,,
倣,,仿,仿,仿,仿,仿,仿
倥,,,,,,,
倦,,,,,,,
倨,,,,,,,
倩,,,,,,,
倪,,,,,,,
倫,,伦,,伦,伦,伦,伦
倬,,,,,,,
倭,,,,,,,
债,,,,,,,
值,,,,,值.er1,值.er1,
倾,,,,,,,
偃,,,,,,,
假,,,,,,假.er2,
偈,,,,,,,
偉,,伟,伟,伟,伟,伟,伟
偌,,,,,,,
偎,,,,,,,
偏,,,,,,,
偕,,,,,,,
做,,,,,,,
停,,,,,仃,仃,
健,,,,,,伣,
偬,,,,,,,
偭,,,,,,,
偯,,,,,,,
側,,侧,,侧,侧,侧,侧
偵,,侦,,侦,侦,侦,侦
偶,,,,,,,
偷,,,,,,,
偺,,咱,,咱,咱,咱,咱
偻,,,,,,,
偽,伪,伪,伪,伪,伪,伪,伪
偾,,,,,,,
偿,,,,,,,
傀,,,,,,傀.er2,
傅,,,,,,付,
傍,,,,,,傍.er2,
傑,,杰,,杰,杰,𣎶,杰
傖,,伧,,伧,伧,伧,伧
傘,伞.kmt,伞,伞,伞,伞,伞,伞
備,俻,备,备,备,备,备,备
傚,,效,,效,效,效,效
傢,,家,,家,家,𡦼,家
傣,,,,,,傣.er2,
傥,,,,,,,
傧,,,,,,,
储,,,,,,㑁,
傩,,,,,,傩.er2,
催,,,,,,催.er2,
傭,,佣,佣,佣,佣,佣,佣
傯,,偬,,偬,偬,偬,偬
傲,,,,,,,
傳,,传,传,传,传,传,传
傴,,伛,,伛,伛,伛,伛
債,,债,,债,债,债,债
傷,傷.kmt,伤,伤,伤,伤,伤,伤
傺,,,,,,,
傻,,,,,,,
傾,,倾,,倾,倾,倾,倾
僂,,偻,,偻,偻,偻,偻
僅,,仅,仅,仅,仅,仅,仅
僇,,,,,,,
僉,,佥,,佥,佥,佥,佥
僎,,,,,,,
像,,象.gbk,,,像.gbk,像.er2,像.gbk
僑,侨,侨,侨,侨,侨,侨,侨
僕,,仆,,仆,仆,仆,仆
僖,,,,,,,
僚,,,,,𠆨,𠆨,
僣,,,,,,,
僥,,侥,,侥,侥,侥,侥
僦,,,,,,,
僧,,,,,,,
僨,,偾,,偾,偾,偾,偾
僩,,,,,,,
僬,,,,,,,
僭,,僣,,僣,僣,僣,僣
僮,,,,,,,
僱,,雇,,雇,雇,雇,雇
僳,,,,,,,
僵,,,,,,,
價,价,价,价,价,价,价,价
僻,,,,,,辟,
儀,仪,仪,仪,仪,仪,仪,仪
儂,,侬,,侬,侬,侬,侬
億,,亿,,亿,亿,亿,亿
儅,,当,,当,当,当,当
儆,,,,,,警.er2,
儇,,,,,,,
儈,侩,侩,,侩,侩,侩,侩
儉,,俭,俭,俭,俭,俭,俭
儋,,,,,,,
儐,,傧,,傧,傧,傧,傧
儒,㐵,,,,儒.er1,儒.er1,
儔,俦.kmt,俦,,俦,俦,俦,俦
儕,㑪,侪,,侪,侪,侪,侪
儘,侭,尽,尽,尽,尽,尽,尽
償,,偿,偿,偿,偿,偿,偿
儡,,,,,,厽,
優,,优,优,优,优,优,优
儲,,储,,储,储,㑁,储
儳,,,,,,,
儷,,俪,,俪,俪,俪,俪
儸,,罗,,罗,罗,罗,罗
儺,,傩,,傩,傩,傩.er2,傩
儻,,傥,,傥,傥,傥,傥
儼,,俨,,俨,俨,俨,俨
儿,,,,,,,
兀,,,,,,,
允,,,,,,,
元,,,,,,,
兄,,,,,,,
充,,,,,,,
兆,,,,,,,
兇,,凶,,凶,凶,凶,凶
先,,,,,,,
光,,,,,,,
克,,,,,,,
兌,,兑,,兑,兑,兑,兑
免,,,,,,,
兑,,,,,,,
兒,,儿,,儿,儿,儿,儿
兔,,,,,,,
兕,,,,,,,
兖,,,,,,,
兗,,兖,,兖,兖,兖,兖
兙,,,,,,,
党,,,,,,,
兛,,,,,,,
兜,,,,,,,
兝,,,,,,,
兞,,,,,,,
兡,,,,,,,
兢,,,,,,,
兣,,,,,,,
入,,,,,,,
內,,内,,内,内,内,内
全,,,,,,,
兩,,两,两,两,两,两,两
八,,,,,,,
公,,,,,,,
六,,,,,,,
兮,,,,,,,
兰,,,,,,,
共,,,,,,,
关,,,,,,,
兴,,,,,,,
兵,,,,,,,
其,,,,,,其.er2,
具,,,,,具.er1,具.er1,
典,,,,,,,
